,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price
0.0,Maruti Alto K10 LXI CNG,Delhi,2014.0,40929.0,CNG,Manual,First,32.26,998.0,58.2,4.0,nan
1.0,Maruti Alto 800 2016-2019 LXI,Coimbatore,2013.0,54493.0,Petrol,Manual,Second,24.7,796.0,47.3,5.0,nan
2.0,Toyota Innova Crysta Touring Sport 2.4 MT,Mumbai,2017.0,34000.0,Diesel,Manual,First,13.68,2393.0,147.8,7.0,25.27
3.0,Toyota Etios Liva GD,Hyderabad,2012.0,139000.0,Diesel,Manual,First,23.59,1364.0,null bhp,5.0,nan
4.0,Hyundai i20 Magna,Mumbai,2014.0,29000.0,Petrol,Manual,First,18.5,1197.0,82.85,5.0,nan
5.0,Mahindra XUV500 W8 2WD,Coimbatore,2016.0,85609.0,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,nan
6.0,Toyota Fortuner 4x2 AT TRD Sportivo,Pune,2015.0,59000.0,Diesel,Automatic,First,12.55,2982.0,168.7,7.0,nan
7.0,Hyundai EON Era Plus,Jaipur,2013.0,65000.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,nan
8.0,Honda City 1.5 S MT,Mumbai,2011.0,66000.0,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,nan
9.0,Mahindra XUV500 W6 2WD,Coimbatore,2015.0,54684.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,nan
10.0,Audi Q5 2008-2012 2.0 TDI,Mumbai,2012.0,78000.0,Diesel,Automatic,Second,12.8,1968.0,167.6,5.0,nan
11.0,Hyundai Grand i10 Magna,Jaipur,2016.0,21000.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,nan
12.0,Toyota Corolla H5,Chennai,2007.0,90000.0,Petrol,Manual,Third,13.4,1794.0,125.0,5.0,nan
13.0,Maruti Swift Vdi BSIII,Coimbatore,2008.0,87628.0,Diesel,Manual,First,17.8,1248.0,75.0,5.0,nan
14.0,Nissan Terrano XL,Mumbai,2014.0,45000.0,Petrol,Manual,First,13.24,1598.0,102.5,5.0,nan
15.0,BMW X1 sDrive20d,Coimbatore,2013.0,30788.0,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,nan
16.0,BMW 3 Series GT 320d Luxury Line,Hyderabad,2015.0,39524.0,Diesel,Automatic,First,19.59,1995.0,184.0,5.0,nan
17.0,Ford Ikon 1.4 TDCi DuraTorq,Chennai,2009.0,140000.0,Diesel,Manual,First,13.8,1399.0,68.0,5.0,nan
